Source,Source Title,Source Publication Date,Source Page Number,Source Link,Source Access Date,Repository,Source Citation,Item Title,Critic/Reporter,"Poet Name (Last, First Middle) [Alternate Name]",Poet Last Name,Poet Middle Names,Poet First Name,Mentioned Poets,Relative | Relationship to Poet,"Mentioned, Other | Profession",Poet Publication Details,Poet Pub Type,Publication Poet Mentioned In,Event Title,Event Date,Event Location,Event Type,Coordinates ,Excerpt,Commentary,Tags,Notes
Book Review,The Times Literary Supplement,2002-12-13,p. 30, https://link.gale.com/apps/doc/EX1200511987/GDCS?u=linc74325&sid= GDCS&xid=82519379,2019-12-17,Gale Primary Sources Database,"Reading, Peter. ""In Brief."" The Times Literary Supplement, 13 Dec. 2002, p. 30. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200511987/GDCS?u=linc74325&sid= GDCS&xid=82519379. Accessed 17 Dec. 2019.",In Brief: Poetry,"Reading, Peter","P'Bitek, Okot",,,,"Brazzaville, Congo
Tati-Loutard, Jean-Baptiste
al-Barbir, Ahmed
",,"Reading, Peter|Critic
Gallas, John|Editor
","Gallas, John, editor. The Song Atlas: A book of world poetry. Carcanet Press Ltd, 2003. ",Anthology,,,,,,,"The Song Atlas is an ambitiously compiled anthology, painstakingly edited by John Gallas. The book sets out to embrace alphabetically samples of verse from countries as far ranging as Afghanistan and Zimbabwe (the editor has been unable to find a nation beginning with X). In these days of superfluous poetic gallimaufries, this is a gatherum which at least seems to have some purpose. It consists of piece which Gallas acknowledges to have been found and translated by a multitude of hands. The quality (and, indeed, the comprehensibility) of these poems is variable, but that is to be expected, given the cultural divergence involved... And from Uganda, Gallas proffers a similarly minimalist thought-provoking oddity by Okot p'Bitek (1931-82): ""Where's / the Eyeshop? / When will I ever see Ms Right? / I ogle her with anger."" ... ",,"review, critic, alphabetical, collection, global, translation",Peter Reading reviews the collection The Song Atlas: A book of world poetry. 
Book Review,Sunday Times,1975-04-13,p. 40,https://link.gale.com/apps/doc/FP1801546759/GDCS?u=linc74325&sid=GDCS&xid= d1cf57c7. ,2019-12-17,Gale Primary Sources Database,"MacRae, Donald. ""A World of Riches."" Sunday Times, 13 Apr. 1975, p. 40. The Sunday Times Digital Archive, https://link.gale.com/apps/doc/FP1801546759/GDCS?u=linc74325&sid=GDCS&xid= d1cf57c7. Accessed 17 Dec. 2019.",A World of Riches,"MacRae, Donald","Achebe, Chinua [Albert Chinualumogu]
P'Bitek, Okot
Soyinka, Wole
",,,,"Faust, Goethe
Senghor, Léopold Sédar",,"MacRae, Donald|Critic
Beti, Mongo|Writer
Kewi Armah, Kwame|Writer
Ngugi, James|Writer
Dostoevsky, Fyodor|Writer
Dickens, Charles|Writer
Larson, Charles R|Academic
Fagunwa, Daniel|Writer
","Achebe, Chinua. Morning Yet on Creation Day. Heinemann Educational, 1975.

Larson, Charles R. More Modern African Stories. Fontana, 1975.

Soyinka, Wole. Poems of Black Africa. Secker & Warburg, 1975.","Single Author|Full Length

Anthology

Anthology",,,,,,,"Putting novels, plays, verse, essays and so on into literary categories is an important but not very impressive exercise. It matters because the written word is so huge, various, and surprising that some sort of mark is needed for tourists--and we are all tourists. But one category that does not work is that of ""black African literature."" Africa is too rich and too varous for that box to hold very much...",,"review, critic, literature, essay",
Book Review,The Times Literary Supplement,1984-05-11,p. 526, https://link.gale.com/apps/doc/EX1200444905/GDCS?u=linc74325&sid= GDCS&xid=fe2a9e93. ,2019-12-17,Gale Primary Sources Database,"Berry, Neil. ""One man's map."" The Times Literary Supplement, 11 May 1984, p. 526. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200444905/GDCS?u=linc74325&sid= GDCS&xid=fe2a9e93. Accessed 17 Dec. 2019.",One man's map,"Berry, Neil","P'Bitek, Okot",,,,,,"Berry, Neil|Critic
Balmires, Harry|Editor
Murry, Middleton|Writer
Leavis, F. R.|Writer
Montague, C. E.|Writer
Wilson, A. N.|Writer
Boyd, William|Writer
Bradbury, Malcom|Writer
Lodge, David|Writer
Ngugi, James|Writer",,,"Blamires, Harry, editor. A Guide to Twentieth-Century Literature in English. Routledge Kegan & Paul; First Edition edition (December 1, 1983).",,,,,,"It is becoming unusual for reference books to be content simply to dispense information: often nowadays they are also intended to stimulate. Harry Blamires, in his introduction to A Guide to Twentieth Century Literature in English, discloses that he and his two fellow compilers have been free with their opinions, in the belief, it seems, that an unopinionated guide might put readers to sleep. Yet a book like this, encyclopedic in form, is more likely to be consulted than read, and it might be felt that utility rather than readability ought to have been teh primary concern...As the survey approaches the present, its drawing o the literary map--at least of the British one--becomes very crude indeed. A. N. Wilson is in, but not William Boyd, Malcom Bradmury is there but not David Lodge... Is Okot p'Bitek Uganda's sole literary contender? The editor has attempted the impossible with too little assistance and, struggling to be both authoritative and diverting, has ended up with a book which will satisfy few readers.",,"review, critic, literature, global",
Radio Schedule,The Sunday Times,2002-08-25,p. 61[S8], https://link.gale.com/apps/doc/FP1801603887/GDCS? u=linc74325&sid=GDCS&xid=1a0ed9a6,2019-12-17,Gale Primary Sources Database,"""Radio."" Culture. Sunday Times, 25 Aug. 2002, p. 61[S8]. The Sunday Times Digital Archive, https://link.gale.com/apps/doc/FP1801603887/GDCS? u=linc74325&sid=GDCS&xid=1a0ed9a6. Accessed 17 Dec. 2019.",Radio: Radio 4,,"P'Bitek, Okot
Mapanje, Jack",,,,,,,,,,,,,,,4.30 (FM) Into Africa. Poetry from writers including Okot p'Bitek and Jack Mapanje.,,,
Advertisement,The Times Literary Supplement,1978-10-13,p. 1149, https://link.gale.com/apps/doc/EX1200426136/GDCS?u= linc74325&sid=GDCS&xid=e60ed9de,2019-12-17,Gale Primary Sources Database,"""Heinemann Educational Books."" The Times Literary Supplement, 13 Oct. 1978, p. 1149. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200426136/GDCS?u= linc74325&sid=GDCS&xid=e60ed9de. Accessed 17 Dec. 2019.",Heinemann Educational Books: African Writers Series,,"P'Bitek, Okot
Plaatje, Solomon Tshekisho
Okara, Gabriel
Marechera, Dambudzo 
",,,,,,"Samkange, Stanlake|Writer
Viera, L.|Writer
Bebey, Francis|Writer
Munonye, John|Writer
Aniebo, I. N. C.|Writer
Njau, Rebeka|Writer
Mulaisho, Dominic|Writer
Beti, Mongo|Writer
Amadi, Elechi|Writer","p'Bitek, Okot. The Hare and the Hornbill. Heinemann Educational Books, 1978.

Plaatje, Sol T. Mhudi. Heinemann Educational Books, 1978.

Okara, Gabriel. The Fisherman's Invocation Poems. Heinemann Educational Books, 1978.

Marechera, Dambudzo. The House of Hunger. Heinemann Educational Books, 1978.

","Single Author|Selected Works

Single Author|Selected Works

Single Author|Selected Works

Single Author|Selected Works
",,,,,,,,,"list, publication, announcement","A selection of the books published by Heinemann Educational Books in 1978, which includes a number of African poet collections."
Critical Article,The Times Literary Supplement,1992-03-27,p. 14, https://link.gale.com/apps/doc/EX1200466140/GDCS?u=linc74325&sid=GDCS&xid=a1ae5d30. ,2019-12-17,Gale Primary Sources Database,"""Change from below."" The Times Literary Supplement, 27 Mar. 1992, p. 14. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200466140/GDCS?u=linc74325&sid=GDCS&xid=a1ae5d30. Accessed 17 Dec. 2019",Change from below,"Omaar, Rakiya","P'Bitek, Okot
Mapanje, Jack
Chipasula, Frank",,,,"Hadrawi, Mohamed Ibrahim",,"Omaar, Rakiya|Critic
Themba, Can|Writer
Matshikiza, Todd|Writer
Mphahlele, Ezekiel|Writer
Sassine, William|Writer
Mikanza, Mobyem|Writer
Toure, Ahmed Sekou|Politician

",,,,"Death of Okot p'Bitek

Detention/Release of Jack Mapanje","1982-07-20

1990","Uganda. Kampala.

East Africa. Malawi.","Event|Personal

Event|Political",,"The determination of many autocratic rulers of independent African countries to limit freedom of expression has stunted intellectual development within their countries, degraded the quality of debate on national issues and forced many of Africa's most gifted writers into exile. In some cases, exile has nurtured creativity, giving writers the political space to reveal the disparity between official rhetoric and reality. But to many it has not been kind... Okot P'Bitek, the Ugandan poet, is not the only one who, lacking a connection to the society he longed to write about, drank himself to death... In some instances, though, the elaborate repressive apparatus of the state has stimulated creativity by compelling writers to develop subtle and imaginative ways of bypassing censorship. Jack Mapanje, Malwai's best-known poet, who was released in May last year after three-and-a-half years' detention without charge or trial, believes that the draconian measures taken by the Malawi Censorship Board may have inadvertently caused him to write better poems. However, another Malawian poet, Frank Chipasula, found that fear of informants took a heavy toll on his work...",,"exile, arrest, detention, jail, release, censorship, autocratic, independence",
News Report,The Times,1976-10-09,p. 5,https://link.gale.com/apps/doc/ CS85294921/GDCS?u=linc74325&sid=GDCS&xid=10b68773,2019-12-17,Gale Primary Sources Database,"""News in Brief."" Times, 9 Oct. 1976, p. 5. The Times Digital Archive, https://link.gale.com/apps/doc/ CS85294921/GDCS?u=linc74325&sid=GDCS&xid=10b68773. Accessed 17 Dec. 2019",News in Brief: Verdict date on Ghanaian poet,,"Awoonor, Kofi",,,,,,"Kattah, Kojo|Politician
Acheampong, Ignatius|Politician",,,,"Arrest and Trial of Kofi Awoonor

Overthrow of General Ignatius Acheampong's Government, 1975",Fri Oct 08 00:00:00 CDT 1976,West Africa. Ghana. Accra.,"Event|Political

Event|Political",,"The special court trying Dr. Kofi Awoonor, the Ghanaian poet, on charges of subversion is to give judgment on October 29, it was announced today. Dr. Awoonor has denied harbouring Brigadier Kojo Kattah, a former Army officer wanted in connexion with an abortive bid to overthrow General Ignatius Acheampong's Government last year. [Full text.]",,"arrest, trial, court, overthrow, government, army",
News Report,The Times,1976-08-25,p. 4,https://link.gale.com/apps/doc/CS69697305/GDCS?u=linc74325&sid= GDCS&xid=a51e1a50,2019-12-17,Gale Primary Sources Database,"By Our Foreign Staff. ""Ghana refuses visa for trial observer."" Times, 25 Aug. 1976, p. 4. The Times Digital Archive, https://link.gale.com/apps/doc/CS69697305/GDCS?u=linc74325&sid= GDCS&xid=a51e1a50. Accessed 17 Dec. 2019.",Ghana refuses visa for trial observer,,"Awoonor, Kofi",,,,,,"Williams, Osmond|Politician",,,,"Arrest and Trial of Kofi Awoonor

Overthrow of General Ignatius Acheampong's Government, 1975",Wed Aug 25 00:00:00 CDT 1976,West Africa. Ghana. Accra.,"Event|Political

Event|Political",,"""By Our Foreign Staff. The Ghana Government has cancelled a visa that it had issued to Sir Osmond Williams, a Welsh magistrate, who is a member of the executive comittee of the British branch of Amnesty International, to enable him to attend the trial of Dr. Kofi Awoonor, the Ghanaian poet, on trial for concealment of subversion. Dr. Awoonor is accused of sheltering a conspirator involved in a plot to overthrow Ghana's military regime. Three soldiers and two civilians were sentenced to death by a military tribunal at the end of last month for taking part in the alleged conspiracy.",,"arrest, trial, court, overthrow, government, army, visa, amnesty, tribunal",
Book Review,The Times Literary Supplement,1972-03-24,p. 325,https://link.gale.com/apps/doc/EX1200534529/GDCS?u=linc74325&sid= GDCS&xid=46481c28,2019-12-17,Gale Primary Sources Database,"""A is for Art."" The Times Literary Supplement, 24 Mar. 1972, p. 325. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200534529/GDCS?u=linc74325&sid= GDCS&xid=46481c28. Accessed 17 Dec. 2019.",A is for Art,,"Awoonor, Kofi",,,,,,,"Awoonor, Kofi. This Earth, My Brother... Heinemann: 1971.",Single Author|Full Length,,,,,,,"[From the book reviewer, unnamed]: ""Among the enemies of promise now confronting African literature it is possible to include the American university. Kofi Awoonor is a learned Ghanaian poet with an evident gift for narrative (when he chooses to exercise it) and he ought to be a good novelist...All this is fascinating: and the sketches add up to a mysterious but not wholly opaque portrait of Amamu and an account of his disintegration. There is no doubt that Kofi Awoonor could write a very good novel."" ",,"review, muslim, islam, ghost, novel, colonialism, imperialism, sketch",
News Report,The Times,1976-10-28,p. 9,https://link.gale.com/apps/doc/CS151617372/GDCS?u=linc74325&sid=GDCS&xid=b75759d0. ,2019-12-17,Gale Primary Sources Database,"""Ghana military grant pardon to jailed poet."" Times, 28 Oct. 1976, p. 9. The Times Digital Archive, https://link.gale.com/apps/doc/CS151617372/GDCS?u=linc74325&sid=GDCS&xid=b75759d0. Accessed 17 Dec. 2019.",Ghana military grant pardon to jailed poet,,"Awoonor, Kofi",,,,,,"Kattah, Alphonse|Politician",,,,"Pardoning of Kofi Awoonor

Overthrow of General Ignatius Acheampong's Government, 1975",Thu Oct 28 00:00:00 CDT 1976,West Africa. Ghana. Accra.,"Event|Political

Event|Political",,"[Full Text] Ghana's ruling Supreme Military Council has granted a pardon to Dr. Kofi Awoonor, the Ghanaian poet and university lecturer, who was sent to prison for a year last Wednesday, the Ghana News Agency reported. He had been convicted of aiding the escape of Brigadier Alphonse Kattah, who is alleged to have instigated an abortive coup last year. Dr. Awoonor who was arrested last December, denied the charge. An official statement said that Dr. Awoonor was expected to return to the Cape Coast university in the next two weeks.",,"arrest, trial, pardon, overthrow, coup, prison",
News Report,The Times,1970-11-20,p. 9,https://link.gale.com/apps/doc/CS151221108/GDCS?u=linc74325&sid= GDCS&xid=5fb8a5b0,2019-12-17,Gale Primary Sources Database,"""Dr Muller arrives in Madagascar to sign £1.3m loan pact."" Times, 20 Nov. 1970, p. 9. The Times Digital Archive, https://link.gale.com/apps/doc/CS151221108/GDCS?u=linc74325&sid= GDCS&xid=5fb8a5b0. Accessed 17 Dec. 2019.",Dr. Muller arrives in Madagascar to sign 1.3m loan pact,,"Rabemananjara, Jacques",,,,,,"Muller, Hilgard|Politician
Tsiranana, Philibert|Politician
",,,,Economic agreement with Malagasy Republic,Thu Nov 19 00:00:00 CST 1970,Madagascar. Tananarive.,Event|Political,,"""A South African delegation of 20, led by Dr. Hilgard Muller, the Foreign Minister, arrived in Tananarive by air from Johannesburg today to sign an economic agreement with the Malagasy Republic and for talks with Government leaders. Under the agreement South Africa will lend Madagascar the equivalent of 1,350,000--repayable over 25 years--to develop its tourist industry... In reply, Mr. Jacques Rabemananjara, the Malagasy Vice-President and Minister of Foreign and Social Affairs, expressed the opinion that Dr. Muller's visit would break down the wall of prejudice that existed between Madagascar and South Africa...""",,"tourism, loan, agreement, economy, accord, delegation",
News Report,The Times,1970-11-21,p. 4,https://link.gale.com/apps/doc/CS68645749/GDCS?u=linc74325&sid=GDCS&xid=a0889a67.,2019-12-17,Gale Primary Sources Database,"""Dr Muller signs Madagascar loan agreement."" Times, 21 Nov. 1970, p. 4. The Times Digital Archive, https://link.gale.com/apps/doc/CS68645749/GDCS?u=linc74325&sid=GDCS&xid=a0889a67. Accessed 17 Dec. 2019.",Dr. Muller signs Madagascar loan agreement,,"Rabemananjara, Jacques",,,,,,"Hilgard, Muller|Politician
",,,,Economic agreement with Malagasy Republic,Fri Nov 20 00:00:00 CST 1970,Madagascar. Tananarive.,Event|Political,,"[Full Text] The first economic accords ever reached between South Africa and the Malagasy Republic were signed in Tananarive this afternoon. Under the agreements Madacasgar will receive a loan equivalent to 1,350,000. The accords were signed by Vice-President Jacques Rabemananjara and Dr. Hilgard Muller, the South African Foreign Minister, who is heading a delegation of 20 on a three-day visit to the Malagasy Republic. Dr. Muller last night assured the people of Madagascar that they would be warmly welcomed if they visited South Africa. Today South African experts in atomic energy, agriculture, cultural relations, broadcasting, and tourism were having talks with their Malagasy counterparts.",,"tourism, loan, agreement, economy, accord, delegation",
